timestamp,electricity_price,gas_price
2025-01-04 22:00:00+00:00,108.89,54.037209302325586
2025-01-04 23:00:00+00:00,113.49,54.05813953488372
2025-01-05 00:00:00+00:00,99.88,54.05813953488372
2025-01-05 01:00:00+00:00,94.11,54.05813953488372
2025-01-05 02:00:00+00:00,93.85,54.05813953488372
2025-01-05 03:00:00+00:00,90.18,54.05813953488372
2025-01-05 04:00:00+00:00,84.82,54.05813953488372
2025-01-05 05:00:00+00:00,85.68,54.05813953488372
2025-01-05 06:00:00+00:00,88.8,54.05813953488372
2025-01-05 07:00:00+00:00,98.87,54.05813953488372
2025-01-05 08:00:00+00:00,105.98,54.05813953488372
2025-01-05 09:00:00+00:00,106,54.05813953488372
2025-01-05 10:00:00+00:00,102.08,54.05813953488372
2025-01-05 11:00:00+00:00,104.71,54.05813953488372
2025-01-05 12:00:00+00:00,99.54,54.05813953488372
2025-01-05 13:00:00+00:00,115.21,54.05813953488372
2025-01-05 14:00:00+00:00,115.01,54.05813953488372
2025-01-05 15:00:00+00:00,110.26,54.05813953488372
2025-01-05 16:00:00+00:00,96.7,54.05813953488372
2025-01-05 17:00:00+00:00,96.83,54.05813953488372
2025-01-05 18:00:00+00:00,103.83,54.05813953488372
2025-01-05 19:00:00+00:00,88.8,54.05813953488372
2025-01-05 20:00:00+00:00,86.11,54.05813953488372
2025-01-05 21:00:00+00:00,71.98,54.05813953488372
2025-01-05 22:00:00+00:00,49.41,54.05813953488372
2025-01-05 23:00:00+00:00,42.75,54.16976744186047
2025-01-06 00:00:00+00:00,44.19,54.16976744186047
2025-01-06 01:00:00+00:00,34.31,54.16976744186047
2025-01-06 02:00:00+00:00,28.2,54.16976744186047
2025-01-06 03:00:00+00:00,31.04,54.16976744186047
2025-01-06 04:00:00+00:00,40.97,54.16976744186047
2025-01-06 05:00:00+00:00,56.22,54.16976744186047
2025-01-06 06:00:00+00:00,68.03,54.16976744186047
2025-01-06 07:00:00+00:00,79.47,54.16976744186047
2025-01-06 08:00:00+00:00,66.17,54.16976744186047
2025-01-06 09:00:00+00:00,56.95,54.16976744186047
2025-01-06 10:00:00+00:00,50.74,54.16976744186047
2025-01-06 11:00:00+00:00,50.4,54.16976744186047
2025-01-06 12:00:00+00:00,70.25,54.16976744186047
2025-01-06 13:00:00+00:00,84.33,54.16976744186047
2025-01-06 14:00:00+00:00,88.85,54.16976744186047
2025-01-06 15:00:00+00:00,89.25,54.16976744186047
2025-01-06 16:00:00+00:00,81.3,54.16976744186047
2025-01-06 17:00:00+00:00,77.74,54.16976744186047
2025-01-06 18:00:00+00:00,72.91,54.16976744186047
2025-01-06 19:00:00+00:00,71.5,54.16976744186047
2025-01-06 20:00:00+00:00,55.14,54.16976744186047
2025-01-06 21:00:00+00:00,53.44,54.16976744186047
2025-01-06 22:00:00+00:00,33.03,54.16976744186047
2025-01-06 23:00:00+00:00,24.27,52.43023255813954
2025-01-07 00:00:00+00:00,26.11,52.43023255813954
